pprojid	ptitle	data_owner	projid	title	license	use	lat,lon OK in ecopart (0=no, 1=ok)	faulty_lights_fix (0=no, 1=not needed, 2=filtered)	flag_2_in_ecotaxa
1	uvp5_sn003_jerico_2017	lars.stemmann@obs-vlfr.fr	578	UVP5 JERICO 2017		x	1	1	
2	uvp5_sn000_boum2008	lars.stemmann@obs-vlfr.fr	122	UVP5 BOUM 2008		x	1	1	
3	uvp5_sn000_ccelter_2012	lars.stemmann@obs-vlfr.fr	45	UVP5 CCELTER (Iter2008 ccelter_2012 ccelter_2014)	CC BY 4.0	x	1	1	
4	uvp5_sn000_lohafex2009	lars.stemmann@obs-vlfr.fr	109	UVP5 LOHAFEX 2009	CC0 1.0	x	1	1	
5	uvp5_sn000_lter2008	lars.stemmann@obs-vlfr.fr	45	UVP5 CCELTER (Iter2008 ccelter_2012 ccelter_2014)	CC BY 4.0	x	1	1	
6	uvp5_sn000_tara2009	lars.stemmann@obs-vlfr.fr	579	UVP5 Tara Oceans (tara2009, tara2010, tara2011, tara2012, tara2013)	CC BY 4.0	x	1	1	
7	uvp5_sn000_tara2010	lars.stemmann@obs-vlfr.fr	579	UVP5 Tara Oceans (tara2009, tara2010, tara2011, tara2012, tara2013)	CC BY 4.0	x	1	1	
9	uvp5_sn000_tara2012	lars.stemmann@obs-vlfr.fr	579	UVP5 Tara Oceans (tara2009, tara2010, tara2011, tara2012, tara2013)	CC BY 4.0	x	1	1	
10	uvp5_sn002_moose_dyf_2013	lars.stemmann@obs-vlfr.fr	35	UVP5 Dyfamed 2013 2014 2015 2016 2017 2018		x	1	1	
11	uvp5_sn002_moose_dyf_2014	lars.stemmann@obs-vlfr.fr	35	UVP5 Dyfamed 2013 2014 2015 2016 2017 2018		x	1	1	
12	uvp5_sn002_moose_dyf_2015	lars.stemmann@obs-vlfr.fr	35	UVP5 Dyfamed 2013 2014 2015 2016 2017 2018		x	1	1	
13	uvp5_sn002_moose_dyf_2016	lguidi@obs-vlfr.fr	35	UVP5 Dyfamed 2013 2014 2015 2016 2017 2018		x	1	1	
14	uvp5_sn002_moose_dyf_2017	coppola@obs-vlfr.fr	35	UVP5 Dyfamed 2013 2014 2015 2016 2017 2018		x	1	1	
15	uvp5_sn002_moose_ge_2013	lars.stemmann@obs-vlfr.fr	30	UVP5 MooseGE 2012 2013 2014 2015 2016	CC BY-NC 4.0	x	1	1	
16	uvp5_sn000_malina2009	lars.stemmann@obs-vlfr.fr	28	UVP5 MALINA 2009	CC BY 4.0	x	1	1	
17	uvp5_sn002_moose_ge_2014	lars.stemmann@obs-vlfr.fr	30	UVP5 MooseGE 2012 2013 2014 2015 2016	CC BY-NC 4.0	x	1	1	
18	uvp5_sn002_moose_ge_2016_filtered	lguidi@obs-vlfr.fr	30	UVP5 MooseGE 2012 2013 2014 2015 2016	CC BY-NC 4.0		1	2	
19	uvp5_sn000_msm049	stemmann@obs-vlfr.fr	588	UVP5 Geomar 2015 msm049		x	1	1	
20	uvp5_sn000_operex2008	lars.stemmann@obs-vlfr.fr	110	UVP5 OPEREX 2008	CC BY 4.0	x	1	1	
21	uvp5_sn001_2012_moose_ge	stemmann@obs-vlfr.fr	30	UVP5 MooseGE 2012 2013 2014 2015 2016	CC BY-NC 4.0	x	1	1	
22	uvp5_sn001_2012_msm22	stemmann@obs-vlfr.fr	593	UVP5 Geomar 2012 msm22		x	1	1	
23	uvp5_sn001_2012_msm23	stemmann@obs-vlfr.fr	584	UVP5 Geomar 2012 msm23		x	1	1	
24	uvp5_sn001_2013_m92	stemmann@obs-vlfr.fr	556	UVP5 Geomar 2013 m92		x	1	1	
25	uvp5_sn001_2013_m93	stemmann@obs-vlfr.fr	563	UVP5 Geomar 2013 m93		x	1	1	
26	uvp5_sn001_2013_m96	stemmann@obs-vlfr.fr	585	UVP5 Geomar 2013 m96			1	1	
27	uvp5_sn001_2013_m97	stemmann@obs-vlfr.fr	603	UVP5 Geomar 2013 m97			1	1	
28	uvp5_sn001_2013_m98	rainer.kiko@obs-vlfr.fr	610	UVP5 Geomar 2013 m98		x	1	1	
29	uvp5_sn001_2014_msm40	stemmann@obs-vlfr.fr	587	UVP5 Geomar 2014 msm40		x	1	1	
30	uvp5_sn002_iado_2016	irisson@normalesup.org					1	1	
31	uvp5_sn002_moose_ge_2015_filtered	lars.stemmann@obs-vlfr.fr	30	UVP5 MooseGE 2012 2013 2014 2015 2016	CC BY-NC 4.0	x	1	2	
32	uvp5_sn002_somba_ge_2014	lars.stemmann@obs-vlfr.fr	36	UVP5 SOMBA 2014	CC BY 4.0	x	1	1	
33	uvp5_sn002zd_cascade2011	lars.stemmann@obs-vlfr.fr					1	1	
34	uvp5_sn002zd_ccelter_2011	lars.stemmann@obs-vlfr.fr	50	UVP5zd CCELTER 2011	CC BY-NC 4.0	x	1	1	
35	uvp5_sn002zd_gatekeeper2010	lars.stemmann@obs-vlfr.fr	51	UVP5zd Gatekeeper	CC BY 4.0	x	1	1	
36	uvp5_sn002zd_keops2	lars.stemmann@obs-vlfr.fr	56	UVP5zd KEOPS	CC BY 4.0	x	1	1	
37	uvp5_sn002zd_omer	lars.stemmann@obs-vlfr.fr	63	UVP5zd OMER (omer omer_2)			1	1	
38	uvp5_sn002zd_omer_2	lars.stemmann@obs-vlfr.fr	63	UVP5zd OMER (omer omer_2)			1	1	
39	uvp5_sn002zh_tvarmine2012	marc.picheral@obs-vlfr.fr	58	UVP5zh Tvarmine			1	1	
40	uvp5_sn003_2015_kaxis	lars.stemmann@obs-vlfr.fr	124	UVP5 KAXIS 2015	CC BY 4.0		1	1	
41	uvp5_sn003_cassiopee_2015	lars.stemmann@obs-vlfr.fr	38	UVP5 CASSIOPEE 2015	CC BY 4.0	x	1	1	
42	uvp5_sn003_ccelter_2014	lars.stemmann@obs-vlfr.fr	45	UVP5 CCELTER (Iter2008 ccelter_2012 ccelter_2014)	CC BY 4.0	x	1	1	
43	uvp5_sn003_ccelter_2016	tristan.biard@univ-littoral.fr	156	UVP5 CCELTER 2016	CC BY 4.0	x	1	1	
44	uvp5_sn003_dewex_spring_2013	lars.stemmann@obs-vlfr.fr	4	UVP5 DEWEX 2013 (spring)	CC BY 4.0	x	1	1	
45	uvp5_sn003_medsea2013	f.gazeau@obs-vlfr.fr	39	UVP5 MEDSEA 2013 (mesocosm)	CC BY 4.0		1	1	
46	uvp5_sn003_outpace_2015	lguidi@obs-vlfr.fr	37	UVP5 OUTPACE 2015	CC BY 4.0	x	1	1	
47	uvp5_sn003_sargasso_a	lombard@obs-vlfr.fr	22	UVP5 Sargasso 2014 (sargasso_a sargasso_b)	CC BY 4.0	x	1	1	
48	uvp5_sn003_sargasso_b	lombard@obs-vlfr.fr	22	UVP5 Sargasso 2014 (sargasso_a sargasso_b)	CC BY 4.0	x	1	1	
49	uvp5_sn003_tara2013	lars.stemmann@obs-vlfr.fr	579	UVP5 Tara Oceans (tara2009, tara2010, tara2011, tara2012, tara2013)	CC BY 4.0	x	1	1	
50	uvp5_sn003zp_pelgas2012	lars.stemmann@obs-vlfr.fr	59	UVP5zd Pelgas	CC BY-NC 4.0		1	1	
51	uvp5_sn003zp_tara2012	lars.stemmann@obs-vlfr.fr	579	UVP5 Tara Oceans (tara2009, tara2010, tara2011, tara2012, tara2013)	CC BY 4.0	x	1	1	
52	uvp5_sn005_batman	francois.carlotti@mio.osupytheas.fr	80	UVP5 Batman	CC BY-NC 4.0		1	1	
53	uvp5_sn005_dewex_2013_winter	lars.stemmann@obs-vlfr.fr	3	UVP5 DEWEX 2013 (winter)	CC BY 4.0	x	1	1	
54	uvp5_sn005_dy032_2015_filtered	francois.carlotti@mio.osupytheas.fr	40	UVP5 DY032 205	CC BY 4.0	x	1	2	
55	uvp5_sn005_moose_ge_2013	lars.stemmann@obs-vlfr.fr	30	UVP5 MooseGE 2012 2013 2014 2015 2016	CC BY-NC 4.0	x	1	1	
56	uvp5_sn008_an1304	marcel.babin@takuvik.ulaval.ca	41	UVP5 AN Arctique (an1304 an1405 an1407) part A to validate		x	1	1	
57	uvp5_sn008_an1405	marcel.babin@takuvik.ulaval.ca	41	UVP5 AN Arctique (an1304 an1405 an1407) part A to validate		x	1	1	
58	uvp5_sn008_an1406	marcel.babin@takuvik.ulaval.ca	618	UVP5 AN 1406	CC BY-NC 4.0	x	1	1	
59	uvp5_sn008_an1407	marcel.babin@takuvik.ulaval.ca	41	UVP5 AN Arctique (an1304 an1405 an1407) part A to validate		x	1	1	
