lineage	taxon	taxo_id	n
living	living	1	16
living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium	Trichodesmium	8976	97524
living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/like	like<Trichodesmium	85120	1432
living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/puff	puff	85024	47018
living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/tuff	tuff	85025	53031
living/Bacteria/Proteobacteria/Cyanobacteria/Nostocales/Nostocaceae/Aphanizomenon	Aphanizomenon	92242	689
living/Bacteria/Proteobacteria/Cyanobacteria/Nostocales/Nostocaceae/Dolichospermum	Dolichospermum	92243	179
living/Bacteria/Proteobacteria/Cyanobacteria/Nostocales/Nostocaceae/Nodularia	Nodularia	92244	501
living/Bacteria/Thermomonosporaceae/Actinoallomurus	Actinoallomurus	486	1
living/Eukaryota	Eukaryota	2	1
living/Eukaryota/Archaeplastida/Viridiplantae/Streptophyta/Embryophyta/Tracheophyta/Rosales/Chaetachme	Chaetachme	85886	3
living/Eukaryota/Archaeplastida/Viridiplantae/Streptophyta/Embryophyta/Tracheophyta/Solanales	Solanales	18378	1
living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae	Dinophyceae	11921	164
living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Noctiluca lineage/Noctiluca/Noctiluca sp.	Noctiluca sp.	19325	1
living/Eukaryota/Harosa/Rhizaria	Rhizaria	342	4
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Castanellidae	Castanellidae	92776	2467
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Circoporidae	Circoporidae	93846	346
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocalpida/Tuscaroridae	Tuscaroridae	92050	75
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae	Aulacanthidae	27642	258
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae/Aulacantha	Aulacantha	54879	21793
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae/Aulographis	Aulographis	85360	1009
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae/Coelodendrum	Coelodendrum	54880	337
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae/Coelographis	Coelographis	92044	2495
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae/leg	leg<Coelodendridae	92059	1731
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeogromida/Medusettidae	Medusettidae	27645	448
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae	Aulosphaeridae	27647	34287
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae/Aulatractus	Aulatractus	92989	238
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae/colonial	colonial<Aulosphaeridae	92056	843
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae/colonial/like	like<colonial	92063	1388
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Cannosphaeridae	Cannosphaeridae	92043	1115
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Cannosphaeridae/colonial	colonial<Cannosphaeridae	92057	76
living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/like	like<Phaeodaria	84969	1
