psampleid,pprojid,profile,sampleid,lat,lon,pproject
15980,86,ge_2016_022,11233,68.4965,-60.8776666666667,GREENEDGE 2016 A
15995,86,ge_2016_031,11242,68.6591666666667,-59.6041666666667,GREENEDGE 2016 A
13027,6,tara_030_a,45109,33.918,32.8943333333333,TARA 2009
16058,86,ge_2016_060,11272,69.0018333333333,-58.416,GREENEDGE 2016 A
11882,47,p0075,330,28.163,-68.5576666666667,SARGASSO A
11872,47,p0042,338,29.9991666666667,-68.5001666666667,SARGASSO A
11878,47,p0067,307,28.8326666666667,-68.5055,SARGASSO A
16149,87,ge_2016_195,11707,69.5016666666667,-61.2873333333333,GREENEDGE 2016 C
10524,23,c_msm23_024,45819,10.6156666666667,-21.0025,MSM 23
13715,54,station_094,2030,48.6821666666667,-17.0593333333333,DY032 2015
16549,2,boum188,7170,41.0886666666667,5.05716666666667,BOUM 2008
16383,2,boum039,7127,33.6245,32.653,BOUM 2008
16491,2,boum127,7131,38.3636666666667,9.06533333333333,BOUM 2008
16010,87,ge_2016_096,11718,68.1176666666667,-60.2681666666667,GREENEDGE 2016 C
16057,87,ge_2016_125,11747,70.0075,-59.1251666666667,GREENEDGE 2016 C
16105,87,ge_2016_155,11769,70.4928333333333,-62.4225,GREENEDGE 2016 C
16490,2,boum126,7140,38.1023333333333,10.2255,BOUM 2008
14088,60,gn2015_l2_022,3864,67.4795,-63.79,GREENEDGE ICE CAMP 2015
16110,87,ge_2016_158,11779,70.5003333333333,-62.1963333333333,GREENEDGE 2016 C
16450,2,boum083,7259,34.1366666666667,18.4441666666667,BOUM 2008
16122,87,ge_2016_168,11789,70.5003333333333,-62.6308333333333,GREENEDGE 2016 C
15531,69,m106_063,46276,-2.66633333333333,-23.0005,M 106
16033,87,ge_2016_110,11735,68.1141666666667,-57.7696666666667,GREENEDGE 2016 C
16053,87,ge_2016_123,11749,70.0091666666667,-59.1245,GREENEDGE 2016 C
15296,69,m106_014,46299,10.4998333333333,-23.0005,M 106
16121,87,ge_2016_167,11791,70.5015,-62.6251666666667,GREENEDGE 2016 C
16084,87,ge_2016_140,11764,70.0026666666667,-61.5613333333333,GREENEDGE 2016 C
11899,47,p0127,345,26.2515,-68.4981666666667,SARGASSO A
15988,86,ge_2016_028,11239,68.6328333333333,-59.9468333333333,GREENEDGE 2016 A
15456,69,m106_042,46278,2.33466666666667,-23.0005,M 106
15396,69,m106_035,46297,3.66633333333333,-22.9995,M 106
17550,99,tara_086_00_a,44974,-64.3595,-53.0061666666667,Tara 2011
14811,83,p1706_15,47561,35.0663333333333,-121.091833333333,CCELTER 2017
16016,87,ge_2016_099,11724,68.1051666666667,-59.9938333333333,GREENEDGE 2016 C
17552,99,tara_093_00_a,45101,-33.4571666666667,-72.1543333333333,Tara 2011
15370,69,m106_031,46292,5.01616666666667,-22.9996666666667,M 106
13061,7,tara_038_00_j,45006,19.012,64.5636666666667,TARA 2010
17093,5,ccep0810_057,2540,32.8173333333333,-120.841833333333,CCELTER 2008
17115,5,ccep0810_065,2566,32.7248333333333,-120.707833333333,CCELTER 2008
17087,5,ccep0810_055,2541,32.8723333333333,-120.930333333333,CCELTER 2008
17096,5,ccep0810_058,2533,32.8333333333333,-120.746333333333,CCELTER 2008
17083,5,ccep0810_054,2560,32.9013333333333,-120.931833333333,CCELTER 2008
17091,5,ccep0810_056,2525,32.8551666666667,-120.904833333333,CCELTER 2008
13084,7,tara_039_00_d,45537,18.7268333333333,66.3971666666667,TARA 2010
17554,99,tara_093_00_c,45450,-34.0665,-73.098,Tara 2011
17556,99,tara_093_00_e,45174,-33.8468333333333,-73.0393333333333,Tara 2011
13110,7,tara_040_00_d,44992,17.4846666666667,67.9996666666667,TARA 2010
17558,99,tara_094_00_b,45590,-32.8675,-84.8408333333333,Tara 2011
17555,99,tara_093_00_d,45310,-33.9115,-73.0536666666667,Tara 2011
15555,69,m106_083,46298,-11.4995,-33.5503333333333,M 106
17112,5,ccep0810_064,2559,32.7018333333333,-120.708333333333,CCELTER 2008
10373,22,c_msm22_002,46219,17.6065,-24.2496666666667,MSM 22
16517,2,boum154,7141,39.565,5.352,BOUM 2008
16551,2,boum190,7142,41.9971666666667,4.99966666666667,BOUM 2008
15567,69,m106_095,46332,-10.773,-35.1936666666667,M 106
10384,22,c_msm22_014,46232,8.0135,-22.978,MSM 22
13144,7,tara_045_00_b,45035,1.6955,71.4845,TARA 2010
13139,7,tara_044_00_e,45618,2.79916666666667,71.5085,TARA 2010
17566,99,tara_096_00_a,45482,-30.8725,-96.2436666666667,Tara 2011
13143,7,tara_045_00_a,45611,1.87866666666667,71.5045,TARA 2010
15548,69,m106_076,46334,-7.5,-23.0003333333333,M 106
17571,99,tara_096_00_f,45451,-29.6535,-101.267333333333,Tara 2011
17570,99,tara_096_00_e,45409,-29.668,-101.2285,Tara 2011
17568,99,tara_096_00_c,45457,-29.7238333333333,-101.160333333333,Tara 2011
17569,99,tara_096_00_d,45387,-29.6495,-101.2495,Tara 2011
17572,99,tara_096_00_g,45425,-29.6396666666667,-101.313333333333,Tara 2011
15543,69,m106_071,46335,-5.49983333333333,-23.0005,M 106
17576,99,tara_097_00_b,45262,-28.1151666666667,-107.5975,Tara 2011
17577,99,tara_097_00_c,45418,-28.1151666666667,-107.5975,Tara 2011
13150,7,tara_045_00_f,45342,-0.00456666666666667,71.644,TARA 2010
17574,99,tara_096_00_i,45170,-29.6578333333333,-101.282833333333,Tara 2011
17581,99,tara_097_00_g,45552,-28.1873333333333,-107.6385,Tara 2011
17580,99,tara_097_00_f,45609,-28.1735,-107.562333333333,Tara 2011
13175,7,tara_051_00_c,45004,-21.4875,54.3368333333333,TARA 2010
15579,69,m106_107,46373,-5.29483333333333,-33.0003333333333,M 106
13205,7,tara_064_00_f,45278,-29.5435,37.9356666666667,TARA 2010
17587,99,tara_098_00_c,45376,-25.8251666666667,-111.775666666667,Tara 2011
17588,99,tara_098_00_d,45280,-25.826,-111.7295,Tara 2011
13225,7,tara_067_00_b,45239,-32.2315,17.7083333333333,TARA 2010
17148,5,ccep0810_077,2544,32.5385,-120.234166666667,CCELTER 2008
17127,5,ccep0810_069,2552,32.8265,-120.709666666667,CCELTER 2008
17118,5,ccep0810_066,2519,32.7498333333333,-120.708833333333,CCELTER 2008
11875,47,p0053,298,29.5355,-68.5013333333333,SARGASSO A
17592,99,tara_098_00_h,45509,-25.8076666666667,-111.690666666667,Tara 2011
17589,99,tara_098_00_e,45705,-25.8335,-111.747166666667,Tara 2011
13226,7,tara_067_00_c,45354,-32.128,17.6985,TARA 2010
